Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32,No,Travel_Rarely,Research & Development,27,1,Human Resources,1,Male,2,5,Manager,2,Single,10882,4,Yes,22,3,4,1,34,0,3,33,33,11,10
20,No,Travel_Rarely,Human Resources,6,1,Technical Degree,2,Female,1,3,Manager,3,Divorced,2136,8,No,14,3,3,1,29,2,3,21,17,6,7
54,Yes,Travel_Rarely,Research & Development,10,4,Technical Degree,3,Male,1,2,Human Resources,1,Single,3064,7,Yes,20,3,1,1,5,1,2,22,21,1,5
24,Yes,Travel_Rarely,Sales,2,5,Medical,2,Female,1,1,Manufacturing Director,3,Single,8009,9,Yes,12,3,2,1,14,0,2,2,0,13,16
38,No,Travel_Rarely,Sales,24,3,Marketing,1,Male,3,1,Research Director,4,Single,13987,3,No,13,3,2,3,14,1,3,33,30,12,3
26,No,Travel_Rarely,Human Resources,6,1,Other,4,Male,1,5,Laboratory Technician,3,Married,5543,3,No,15,4,1,0,15,5,3,31,29,5,5
56,Yes,Travel_Rarely,Research & Development,28,5,Human Resources,4,Female,2,2,Research Scientist,4,Divorced,2007,9,No,13,3,4,1,19,1,1,20,18,6,14
35,No,Travel_Rarely,Research & Development,28,2,Life Sciences,2,Male,3,2,Human Resources,1,Married,6445,4,No,15,4,1,0,12,2,3,20,18,4,9
21,No,Travel_Rarely,Research & Development,21,5,Technical Degree,4,Male,2,5,Manager,1,Single,11706,2,Yes,14,3,4,2,30,5,2,10,7,8,16
42,No,Travel_Rarely,Research & Development,13,3,Human Resources,1,Male,4,5,Research Director,2,Divorced,15749,7,No,23,3,2,1,33,2,1,38,36,13,9
31,No,Non-Travel,Research & Development,18,4,Human Resources,1,Female,3,4,Human Resources,2,Single,12718,6,No,21,3,4,1,28,1,2,3,1,3,4
26,No,Travel_Rarely,Research & Development,7,3,Other,2,Male,2,4,Sales Executive,3,Divorced,10439,4,No,20,3,1,2,2,2,4,0,0,13,6
43,Yes,Travel_Rarely,Research & Development,2,1,Human Resources,1,Female,2,5,Sales Executive,1,Single,14281,9,No,23,3,1,0,8,2,1,27,26,13,9
19,Yes,Travel_Rarely,Research & Development,29,1,Technical Degree,3,Female,3,3,Healthcare Representative,1,Married,2435,2,No,13,3,1,3,10,2,2,23,22,12,10
37,No,Travel_Rarely,Sales,14,5,Marketing,1,Female,4,4,Human Resources,2,Single,1571,4,No,22,3,4,1,10,3,3,34,34,9,2
45,No,Travel_Frequently,Sales,5,3,Technical Degree,2,Male,3,5,Sales Representative,4,Divorced,3382,2,No,16,3,4,2,24,5,4,12,10,14,10
24,Yes,Travel_Rarely,Research & Development,18,1,Life Sciences,3,Female,1,2,Sales Representative,3,Single,6084,9,Yes,18,3,4,2,21,5,2,33,29,0,5
25,No,Travel_Rarely,Research & Development,11,2,Marketing,3,Male,1,4,Research Scientist,3,Single,17661,4,Yes,23,3,2,1,8,5,1,10,6,13,5
52,Yes,Travel_Rarely,Research & Development,10,2,Medical,4,Male,4,3,Laboratory Technician,2,Divorced,14507,0,Yes,22,3,3,0,19,1,2,35,31,7,14
31,No,Travel_Rarely,Research & Development,11,4,Other,1,Female,2,1,Manufacturing Director,1,Single,8059,5,No,14,4,3,0,20,4,4,16,13,14,2
34,No,Travel_Rarely,Research & Development,27,5,Technical Degree,2,Female,2,2,Research Scientist,2,Divorced,19271,9,No,19,3,1,1,9,1,1,34,33,7,10
53,No,Travel_Rarely,Research & Development,2,1,Marketing,4,Male,2,3,Human Resources,2,Married,13771,3,No,16,3,2,2,21,5,4,17,16,6,7
57,Yes,Travel_Rarely,Sales,15,4,Human Resources,4,Male,3,3,Healthcare Representative,2,Married,18649,3,No,15,4,4,1,28,0,2,39,38,7,7
21,No,Travel_Rarely,Research & Development,7,2,Marketing,1,Female,3,3,Sales Representative,2,Married,8491,7,No,13,3,1,3,8,2,3,21,18,1,15
19,No,Travel_Rarely,Research & Development,9,4,Technical Degree,1,Female,4,2,Human Resources,4,Divorced,15527,1,No,15,3,2,3,4,2,3,23,21,2,2
23,No,Non-Travel,Sales,5,4,Medical,2,Male,1,3,Healthcare Representative,4,Divorced,18424,3,Yes,15,3,1,0,39,4,2,18,18,8,7
59,No,Travel_Rarely,Research & Development,7,1,Technical Degree,4,Male,2,1,Manager,1,Married,15859,1,Yes,24,3,2,3,10,0,2,36,35,0,7
21,No,Travel_Rarely,Research & Development,20,1,Medical,2,Male,1,4,Manufacturing Director,2,Single,9073,0,No,22,3,2,2,0,3,2,38,36,7,12
46,No,Travel_Frequently,Research & Development,2,1,Human Resources,4,Female,3,2,Research Director,4,Single,10077,9,No,22,3,3,3,0,1,1,20,16,7,0
35,No,Non-Travel,Research & Development,3,5,Technical Degree,4,Male,3,3,Sales Executive,1,Single,12383,2,No,14,3,1,1,38,3,4,7,7,6,9
43,No,Travel_Rarely,Research & Development,2,4,Marketing,4,Female,3,5,Sales Executive,2,Married,17378,7,Yes,22,3,4,2,4,0,4,27,23,12,4
51,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,Female,1,4,Healthcare Representative,3,Divorced,3353,5,Yes,16,3,3,0,21,4,4,4,2,13,4
27,No,Travel_Rarely,Research & Development,22,5,Life Sciences,4,Female,4,2,Human Resources,4,Married,5799,6,No,13,4,3,0,25,0,2,16,14,10,16
53,Yes,Travel_Rarely,Sales,23,2,Human Resources,4,Female,4,5,Research Scientist,1,Divorced,18070,1,Yes,20,3,4,3,5,4,4,36,32,4,13
31,No,Travel_Frequently,Research & Development,19,3,Marketing,4,Male,3,5,Laboratory Technician,3,Married,12939,5,Yes,11,4,2,0,31,3,2,35,35,3,5
48,No,Travel_Rarely,Research & Development,4,2,Life Sciences,3,Male,2,3,Research Director,2,Married,3428,7,No,17,3,4,1,10,3,1,18,14,9,13
32,Yes,Travel_Rarely,Research & Development,24,5,Human Resources,1,Female,1,2,Healthcare Representative,2,Married,12296,7,Yes,17,3,1,2,9,0,3,26,22,9,11
25,No,Travel_Frequently,Research & Development,20,4,Medical,3,Male,3,3,Laboratory Technician,2,Divorced,8813,3,No,22,3,4,1,38,0,2,33,29,12,0
31,No,Travel_Rarely,Research & Development,7,4,Marketing,1,Male,1,1,Manager,4,Married,15414,5,No,14,3,2,1,33,2,2,10,10,14,4
40,No,Non-Travel,Sales,28,1,Medical,2,Male,1,5,Manager,1,Single,12801,4,Yes,19,3,4,1,30,4,3,11,8,9,17
57,No,Non-Travel,Human Resources,22,1,Marketing,3,Female,4,1,Healthcare Representative,3,Married,12745,8,No,22,3,2,1,11,2,3,20,20,13,13
38,No,Travel_Rarely,Research & Development,7,4,Medical,2,Female,3,3,Healthcare Representative,1,Married,14025,7,No,12,3,2,2,15,1,1,10,6,9,6
33,No,Travel_Rarely,Research & Development,17,4,Medical,4,Male,4,4,Manager,4,Single,4356,1,No,23,3,1,2,37,1,4,38,37,5,14
35,No,Travel_Rarely,Research & Development,19,1,Life Sciences,2,Male,3,5,Research Scientist,1,Married,15288,6,No,11,3,4,1,2,0,2,27,26,11,8
41,No,Non-Travel,Research & Development,22,1,Marketing,2,Male,1,4,Manager,4,Single,7540,6,Yes,13,3,4,1,1,3,4,4,2,10,14
43,Yes,Non-Travel,Research & Development,16,2,Technical Degree,2,Female,4,2,Research Scientist,2,Divorced,17422,0,No,17,3,1,0,4,1,2,16,13,0,15
42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,2,Male,1,5,Laboratory Technician,3,Single,4342,0,Yes,19,3,2,0,10,1,1,19,17,12,8
58,No,Travel_Rarely,Research & Development,15,4,Medical,1,Female,3,1,Research Scientist,2,Married,10078,3,No,12,3,4,2,24,2,3,11,9,4,6
46,No,Travel_Rarely,Research & Development,14,5,Medical,3,Female,2,4,Sales Executive,1,Divorced,3844,4,No,16,3,1,0,34,2,1,5,4,13,6
32,No,Travel_Frequently,Research & Development,15,2,Technical Degree,1,Female,4,2,Sales Executive,2,Married,11396,3,No,13,3,2,2,34,1,3,16,16,3,16
18,No,Travel_Rarely,Research & Development,14,3,Technical Degree,1,Female,4,5,Human Resources,3,Divorced,18482,6,No,15,3,1,2,21,0,4,18,16,3,10
42,No,Travel_Rarely,Sales,7,3,Medical,1,Female,1,2,Manufacturing Director,2,Married,19207,2,Yes,22,3,4,3,36,2,4,25,23,6,5
24,No,Travel_Rarely,Research & Development,25,3,Technical Degree,2,Female,1,1,Healthcare Representative,3,Divorced,14998,6,Yes,19,4,1,2,21,1,1,31,28,8,13
26,No,Travel_Frequently,Sales,3,1,Other,1,Male,2,5,Sales Representative,3,Married,14261,7,No,13,3,3,0,10,3,3,5,4,7,14
41,No,Travel_Frequently,Sales,17,3,Life Sciences,3,Male,4,2,Research Scientist,2,Single,4093,5,No,11,3,2,3,31,2,1,35,35,10,7
18,Yes,Travel_Rarely,Research & Development,10,5,Marketing,1,Female,3,3,Human Resources,4,Married,12722,5,No,15,4,3,0,34,1,3,37,34,12,3
25,Yes,Travel_Rarely,Sales,15,1,Technical Degree,4,Male,3,5,Manufacturing Director,1,Divorced,12645,7,Yes,11,4,3,2,30,4,3,10,10,13,0
41,No,Travel_Rarely,Research & Development,29,1,Technical Degree,2,Male,4,5,Sales Executive,4,Married,16083,7,No,18,4,2,2,7,2,4,32,32,11,5
28,Yes,Non-Travel,Sales,6,3,Other,4,Female,4,5,Research Director,4,Single,1988,6,Yes,17,3,2,1,19,4,4,23,21,7,0
34,No,Travel_Rarely,Research & Development,28,1,Marketing,3,Female,4,5,Manufacturing Director,2,Single,7446,5,No,21,3,1,2,33,2,3,22,19,4,4
25,Yes,Travel_Rarely,Sales,17,2,Other,3,Male,2,3,Sales Representative,1,Single,17335,5,No,12,3,2,3,3,2,3,14,12,5,4
52,No,Travel_Rarely,Sales,17,2,Marketing,3,Male,3,1,Laboratory Technician,1,Married,17133,9,No,24,3,3,2,17,5,3,26,22,1,4
52,No,Travel_Rarely,Research & Development,14,3,Life Sciences,3,Male,3,3,Human Resources,4,Single,2682,5,Yes,21,3,3,1,3,5,4,10,10,12,16
50,No,Travel_Rarely,Research & Development,24,5,Technical Degree,1,Male,1,3,Healthcare Representative,2,Married,6626,7,No,19,3,4,2,19,4,4,16,13,10,11
22,Yes,Travel_Rarely,Research & Development,25,1,Life Sciences,2,Female,1,2,Healthcare Representative,1,Single,8424,0,No,15,4,2,2,8,0,2,13,12,13,6
59,No,Travel_Rarely,Sales,18,4,Marketing,3,Female,4,4,Laboratory Technician,4,Married,13857,4,No,17,3,3,2,15,1,3,26,24,2,14
56,No,Travel_Rarely,Research & Development,25,3,Technical Degree,4,Female,1,4,Human Resources,1,Divorced,13155,2,No,14,3,4,1,25,0,2,17,13,4,12
58,Yes,Travel_Rarely,Research & Development,5,1,Other,3,Male,2,2,Laboratory Technician,2,Married,18317,7,No,22,3,4,0,37,0,3,27,23,1,11
45,No,Travel_Rarely,Sales,29,3,Medical,2,Male,3,3,Research Scientist,2,Single,12425,5,No,23,3,1,2,24,5,4,3,0,2,12
24,No,Travel_Rarely,Research & Development,8,3,Other,4,Female,3,2,Human Resources,2,Single,2980,1,No,11,3,3,3,3,1,2,6,4,3,5
26,No,Travel_Rarely,Research & Development,7,5,Medical,4,Male,1,5,Human Resources,1,Married,16522,6,Yes,24,3,1,1,37,5,2,34,33,5,0
25,No,Travel_Rarely,Research & Development,23,4,Other,4,Male,4,2,Manufacturing Director,3,Married,9984,6,No,18,4,3,3,18,5,1,8,5,4,5
29,Yes,Travel_Frequently,Research & Development,4,1,Marketing,1,Female,1,2,Manufacturing Director,1,Married,18175,4,No,23,3,1,2,13,5,3,7,7,9,12
51,Yes,Travel_Rarely,Research & Development,18,3,Life Sciences,3,Female,4,5,Manager,3,Divorced,16883,7,Yes,11,3,1,1,20,3,4,16,15,3,12
50,No,Travel_Rarely,Research & Development,5,3,Medical,1,Male,2,4,Human Resources,2,Divorced,6390,4,No,13,3,2,2,14,0,1,16,14,12,12
40,No,Travel_Rarely,Research & Development,16,1,Marketing,4,Male,3,5,Research Director,4,Single,19639,0,No,16,3,1,3,2,0,1,32,29,14,3
41,No,Travel_Frequently,Research & Development,14,3,Life Sciences,1,Male,2,1,Laboratory Technician,3,Single,2607,8,No,18,3,2,1,36,0,3,31,31,1,4
54,No,Travel_Rarely,Research & Development,27,3,Life Sciences,1,Female,3,2,Manager,2,Married,7573,3,No,18,3,4,0,15,3,1,7,4,11,12
52,No,Travel_Rarely,Research & Development,27,3,Technical Degree,1,Female,2,2,Sales Representative,2,Married,18368,1,No,12,3,3,0,13,2,3,18,18,10,8
57,No,Travel_Rarely,Research & Development,19,2,Technical Degree,3,Male,1,4,Manager,3,Married,6776,3,No,19,3,4,0,8,4,1,37,37,4,16
39,Yes,Travel_Rarely,Research & Development,14,2,Technical Degree,4,Male,2,3,Laboratory Technician,4,Married,4676,8,Yes,14,3,3,2,6,4,3,2,0,4,2
44,Yes,Travel_Rarely,Research & Development,9,4,Medical,4,Female,2,5,Human Resources,2,Single,4380,1,No,14,4,4,1,13,3,4,4,2,10,17
52,No,Travel_Rarely,Sales,6,5,Medical,3,Male,1,3,Manufacturing Director,3,Divorced,9711,3,Yes,24,3,3,3,5,0,3,12,11,6,14
18,No,Travel_Frequently,Research & Development,17,1,Life Sciences,1,Female,3,1,Research Scientist,4,Married,9782,1,No,12,3,1,3,20,4,3,30,26,0,0
52,No,Travel_Rarely,Research & Development,19,5,Medical,1,Female,3,5,Human Resources,4,Divorced,18434,4,No,11,3,3,2,14,3,2,15,11,3,8
54,No,Non-Travel,Research & Development,12,5,Life Sciences,2,Female,1,1,Laboratory Technician,2,Married,14997,2,No,20,3,3,2,7,5,4,31,28,10,5
31,No,Travel_Rarely,Research & Development,4,2,Marketing,2,Female,2,1,Manager,1,Married,7342,9,Yes,17,3,4,3,33,1,4,21,21,4,17
20,No,Travel_Frequently,Research & Development,16,4,Other,2,Male,2,1,Healthcare Representative,1,Single,18343,1,No,21,3,4,1,39,4,4,28,28,7,0
18,Yes,Travel_Rarely,Research & Development,25,5,Life Sciences,3,Male,2,5,Research Scientist,2,Married,7059,8,No,20,4,4,2,0,1,1,21,18,11,6
22,No,Travel_Rarely,Research & Development,11,5,Life Sciences,4,Female,4,5,Sales Executive,4,Single,9884,4,Yes,13,3,2,1,31,0,2,2,0,14,9
43,No,Travel_Rarely,Research & Development,22,3,Marketing,2,Male,3,4,Human Resources,2,Married,6655,9,Yes,14,3,2,3,4,4,4,9,9,11,5
31,Yes,Travel_Frequently,Research & Development,4,1,Technical Degree,4,Male,2,2,Laboratory Technician,3,Single,13091,4,Yes,21,3,3,1,29,3,1,20,16,7,6
56,Yes,Travel_Rarely,Sales,17,4,Human Resources,4,Male,3,3,Sales Representative,1,Single,16251,0,No,19,3,3,0,21,2,1,15,11,0,5
44,No,Travel_Rarely,Human Resources,8,1,Technical Degree,4,Male,2,3,Human Resources,3,Single,1526,5,Yes,16,3,1,3,19,4,1,11,11,4,7
26,Yes,Travel_Rarely,Research & Development,14,2,Technical Degree,3,Male,1,1,Human Resources,2,Single,4224,6,No,24,4,1,0,15,4,2,1,1,9,1
32,No,Non-Travel,Research & Development,27,5,Life Sciences,3,Female,1,5,Manager,2,Married,16069,0,No,11,3,3,3,6,4,1,23,21,0,8
32,No,Travel_Rarely,Research & Development,2,5,Life Sciences,3,Male,3,5,Research Director,4,Divorced,12536,8,No,19,3,2,0,6,4,2,34,34,0,8
43,No,Travel_Rarely,Sales,11,1,Medical,3,Male,3,1,Human Resources,4,Married,14547,7,Yes,19,4,3,1,1,3,3,29,27,1,6
59,No,Non-Travel,Research & Development,11,2,Medical,2,Male,1,2,Laboratory Technician,4,Married,19259,7,No,15,3,1,3,13,3,1,29,25,1,8
30,No,Non-Travel,Research & Development,24,3,Other,1,Male,4,3,Manager,3,Single,2763,6,No,18,4,2,3,30,2,4,34,32,14,16
49,No,Travel_Rarely,Research & Development,22,3,Other,1,Female,1,4,Healthcare Representative,4,Married,9712,4,No,17,3,2,0,13,3,1,18,18,14,2
56,No,Travel_Frequently,Sales,24,5,Human Resources,1,Male,2,2,Sales Representative,2,Single,6797,2,No,21,3,1,1,4,3,3,7,6,8,15
49,No,Travel_Rarely,Research & Development,6,5,Medical,2,Male,4,5,Sales Representative,4,Single,10208,8,No,18,3,3,3,10,0,3,25,25,3,15
21,No,Travel_Rarely,Sales,21,4,Life Sciences,1,Male,1,1,Human Resources,1,Single,6109,6,No,19,3,4,2,39,0,1,39,38,2,1
47,No,Travel_Frequently,Research & Development,21,1,Marketing,2,Female,4,3,Sales Executive,4,Married,17500,9,No,24,3,3,0,4,1,3,6,2,10,10
54,Yes,Travel_Frequently,Research & Development,14,5,Medical,2,Male,4,1,Manager,3,Single,3433,9,No,12,3,3,3,28,2,2,29,26,0,15
40,Yes,Travel_Rarely,Sales,10,2,Life Sciences,2,Male,4,5,Healthcare Representative,1,Divorced,17967,7,Yes,20,3,1,1,10,0,2,6,2,11,14
56,Yes,Travel_Rarely,Research & Development,26,1,Medical,1,Male,3,1,Manufacturing Director,1,Married,5167,5,Yes,15,3,2,1,4,2,1,2,0,1,0
32,Yes,Travel_Rarely,Research & Development,27,4,Technical Degree,4,Male,1,3,Sales Executive,1,Divorced,18773,4,Yes,18,3,1,1,31,2,2,0,0,5,16
46,Yes,Travel_Frequently,Research & Development,8,3,Medical,1,Male,3,1,Manufacturing Director,3,Divorced,9357,7,No,13,3,3,1,35,4,2,35,33,8,2
53,No,Non-Travel,Research & Development,7,4,Human Resources,1,Female,3,3,Sales Representative,2,Married,7154,2,No,21,3,4,0,14,5,4,24,20,4,6
30,No,Travel_Rarely,Research & Development,8,1,Technical Degree,3,Male,2,1,Manufacturing Director,4,Divorced,9920,6,No,21,3,4,3,18,5,1,36,33,3,10
49,No,Travel_Frequently,Research & Development,28,3,Life Sciences,2,Female,2,1,Sales Executive,1,Single,19427,1,No,16,3,4,0,21,5,3,0,0,12,17
24,No,Travel_Rarely,Research & Development,8,2,Technical Degree,4,Male,4,3,Sales Executive,1,Divorced,18162,2,No,16,3,1,0,33,2,1,14,13,4,13
39,No,Travel_Rarely,Research & Development,23,3,Medical,3,Male,4,1,Sales Executive,1,Single,1213,1,No,17,3,2,1,16,4,2,36,32,8,15
45,No,Travel_Rarely,Research & Development,2,3,Technical Degree,4,Female,2,2,Healthcare Representative,2,Married,4762,4,No,23,4,1,2,11,1,4,12,11,11,5
19,Yes,Travel_Rarely,Sales,27,2,Human Resources,4,Male,2,4,Sales Representative,2,Married,14399,6,No,21,3,4,1,24,1,1,39,35,12,1
59,No,Travel_Rarely,Research & Development,16,5,Marketing,2,Female,1,2,Human Resources,3,Divorced,10768,9,Yes,13,3,3,2,16,5,1,7,5,6,10
23,Yes,Non-Travel,Research & Development,9,5,Technical Degree,1,Female,4,4,Research Director,2,Divorced,11640,9,Yes,18,4,2,0,9,1,2,4,3,7,10
45,No,Travel_Rarely,Research & Development,13,3,Human Resources,2,Female,4,2,Research Scientist,4,Single,7731,0,Yes,18,4,1,1,27,4,2,8,4,14,9
45,No,Travel_Rarely,Sales,23,3,Technical Degree,2,Male,2,4,Human Resources,3,Married,6791,9,No,19,3,1,1,17,5,1,0,0,3,3
37,No,Travel_Frequently,Research & Development,12,4,Other,3,Male,1,1,Manufacturing Director,3,Divorced,16822,8,No,18,3,2,0,17,4,2,35,32,10,16
47,Yes,Travel_Rarely,Sales,27,5,Marketing,2,Male,2,3,Healthcare Representative,4,Married,9783,0,No,13,3,2,1,31,1,2,34,31,7,9
28,No,Travel_Rarely,Human Resources,22,2,Life Sciences,1,Male,2,3,Healthcare Representative,4,Single,14621,0,Yes,16,3,3,3,13,5,2,1,0,5,8
45,No,Travel_Rarely,Research & Development,25,3,Human Resources,4,Male,3,5,Manufacturing Director,4,Married,17019,9,No,19,4,2,2,15,4,2,39,37,4,12
42,No,Travel_Frequently,Research & Development,29,3,Technical Degree,2,Male,4,4,Manager,3,Divorced,3720,7,No,11,3,3,2,17,3,2,22,21,12,10
56,No,Travel_Rarely,Research & Development,17,4,Marketing,4,Male,1,5,Sales Executive,3,Married,9905,5,No,13,3,4,2,15,3,4,8,6,11,9
50,No,Travel_Rarely,Research & Development,27,4,Life Sciences,2,Male,3,5,Research Scientist,3,Married,10127,5,No,12,3,4,1,16,4,2,33,33,6,4
18,No,Travel_Rarely,Research & Development,2,4,Marketing,4,Female,4,4,Manufacturing Director,4,Married,17385,8,No,22,3,1,3,6,4,3,13,9,5,2
44,Yes,Non-Travel,Sales,13,1,Human Resources,2,Female,2,3,Manufacturing Director,4,Married,7368,3,No,18,3,4,1,11,0,1,3,0,2,3
30,No,Travel_Rarely,Human Resources,1,2,Other,3,Male,1,4,Research Director,1,Divorced,15056,7,No,16,3,4,2,33,0,4,29,25,4,2
58,No,Travel_Rarely,Research & Development,26,1,Human Resources,4,Female,4,1,Human Resources,2,Married,13236,3,Yes,20,3,3,1,9,2,4,30,27,8,9
20,Yes,Travel_Rarely,Research & Development,28,3,Human Resources,2,Male,2,5,Manufacturing Director,1,Married,19333,1,Yes,21,3,1,2,4,5,2,37,33,6,12
56,No,Travel_Rarely,Research & Development,19,4,Life Sciences,2,Male,3,5,Manager,4,Divorced,15451,7,No,21,3,2,0,20,2,1,10,7,11,4
23,No,Travel_Rarely,Research & Development,11,4,Life Sciences,3,Male,1,4,Manufacturing Director,3,Single,18301,6,No,18,3,1,2,2,2,3,34,34,3,12
25,No,Non-Travel,Research & Development,5,4,Technical Degree,3,Female,4,5,Manufacturing Director,4,Divorced,11433,3,No,12,3,4,0,18,1,2,7,5,6,0
44,Yes,Travel_Rarely,Sales,1,5,Medical,3,Male,3,3,Human Resources,2,Married,16525,8,No,21,3,2,0,34,3,1,2,0,4,10
26,No,Travel_Frequently,Research & Development,20,2,Human Resources,4,Male,2,5,Manufacturing Director,1,Divorced,1089,8,No,16,4,1,0,5,1,2,13,11,10,2
54,No,Travel_Frequently,Sales,13,1,Life Sciences,4,Female,2,4,Manager,1,Single,19093,7,No,17,3,1,2,13,5,2,12,9,12,16
